Date,Open,High,Low,Close,Adj Close,Volume
9/21/2021,6510,6535,6470,6490,6052.511719,57115500
9/22/2021,6500,6580,6500,6555,6113.129395,68722000
9/23/2021,6555,6590,6545,6580,6136.444824,60998500
9/24/2021,6500,6585,6500,6585,6141.107422,60539500
9/27/2021,6585,6595,6555,6580,6136.444824,55052500
9/28/2021,6540,6560,6500,6520,6080.48877,80186000
9/29/2021,6520,6580,6515,6580,6136.444824,74079000
9/30/2021,6600,7000,6595,7000,6528.132813,156848000
10/1/2021,6900,6900,6710,6760,6304.310059,103954500
10/4/2021,6740,6960,6740,6960,6490.828613,74719000
10/5/2021,6910,6945,6860,6945,6476.839844,54986500
10/6/2021,6980,7180,6970,7180,6695.998047,174312000
10/7/2021,7175,7175,7080,7160,6677.346191,107263500
10/8/2021,7200,7300,7175,7290,6798.583496,94643500
10/11/2021,7240,7290,7230,7255,6765.942871,47201000
10/12/2021,7255,7320,7245,7320,6826.561035,91067000
10/13/2021,7400,8250,7400,7525,7017.741699,210893300
10/14/2021,7600,7900,7600,7750,7227.574707,138811900
10/15/2021,7800,7875,7450,7650,7134.316406,142378200
10/18/2021,7650,7675,7475,7525,7017.741699,116644300
10/19/2021,7475,7525,7350,7500,6994.427734,134601200
10/21/2021,7500,7550,7350,7400,6901.167969,106120100
10/22/2021,7450,7550,7425,7525,7017.741699,96730700
10/25/2021,7400,7525,7400,7525,7017.741699,60329800
10/26/2021,7600,7600,7500,7525,7017.741699,70103000
10/27/2021,7575,7575,7425,7450,6947.797852,57067000
10/28/2021,7350,7425,7350,7375,6877.853516,75271900
10/29/2021,7450,7475,7375,7475,6971.112793,60639200
11/1/2021,7550,7550,7400,7400,6901.167969,38593400
11/2/2021,7375,7425,7250,7300,6807.90918,90535400
11/3/2021,7300,7400,7250,7350,6854.538574,61621500
11/4/2021,7425,7475,7375,7375,6877.853516,61081400
11/5/2021,7475,7475,7375,7450,6947.797852,43120400
11/8/2021,7500,7600,7450,7575,7064.37207,85441700
11/9/2021,7600,7675,7575,7675,7157.630371,101785800
11/10/2021,7675,7675,7575,7650,7134.316406,47503900
11/11/2021,7700,7750,7600,7675,7157.630371,55790000
11/12/2021,7750,7750,7525,7525,7017.741699,52590100
11/15/2021,7625,7625,7500,7500,6994.427734,67344200
11/16/2021,7400,7475,7325,7475,6971.112793,98616900
11/17/2021,7500,7575,7425,7575,7088.077637,61968100
11/18/2021,7425,7500,7400,7400,6924.326172,78839600
11/19/2021,7425,7450,7375,7425,6947.719727,68203700
11/22/2021,7425,7525,7400,7475,6994.505859,66328300
11/23/2021,7400,7500,7400,7475,6994.505859,43477500
11/24/2021,7575,7575,7425,7475,6994.505859,35181400
11/25/2021,7450,7525,7425,7425,6947.719727,40216100
11/26/2021,7400,7450,7250,7275,6807.361328,113288400
11/29/2021,7275,7425,7175,7400,6924.326172,87907900
11/30/2021,7325,7425,7275,7275,6807.361328,144923700
12/1/2021,7275,7450,7275,7300,6830.754395,76538100
12/2/2021,7375,7500,7300,7500,7017.898438,66831000
12/3/2021,7525,7525,7350,7375,6900.933594,63283700
12/6/2021,7450,7475,7350,7350,6877.540527,56944100
12/7/2021,7450,7475,7350,7350,6877.540527,51258200
12/8/2021,7450,7475,7400,7425,6947.719727,74775000
12/9/2021,7400,7450,7350,7350,6877.540527,54886400
12/10/2021,7325,7375,7275,7375,6900.933594,91092400
12/13/2021,7375,7400,7300,7300,6830.754395,59977100
12/14/2021,7300,7375,7275,7300,6830.754395,49763600
12/15/2021,7300,7375,7275,7300,6830.754395,52477600
12/16/2021,7375,7400,7275,7275,6807.361328,95171400
12/17/2021,7325,7500,7300,7500,7017.898438,107096800
12/20/2021,7350,7400,7325,7375,6900.933594,74753000
12/21/2021,7325,7400,7325,7375,6900.933594,52386100
12/22/2021,7425,7425,7325,7325,6854.147461,33232000
12/23/2021,7325,7350,7300,7300,6830.754395,37136400
12/24/2021,7300,7350,7300,7300,6830.754395,30802100
12/27/2021,7300,7350,7300,7350,6877.540527,20722100
12/28/2021,7375,7400,7325,7350,6877.540527,39343800
12/29/2021,7350,7375,7300,7300,6830.754395,42079500
12/30/2021,7350,7350,7300,7300,6830.754395,49954700
1/3/2022,7325,7400,7300,7325,6854.147461,54287400
1/4/2022,7325,7450,7325,7400,6924.326172,70624000
1/5/2022,7450,7525,7375,7450,6971.112793,76164900
1/6/2022,7500,7525,7425,7475,6994.505859,63657100
1/7/2022,7550,7700,7500,7650,7158.256348,143433300
1/10/2022,7575,7650,7550,7600,7111.470215,45351900
1/11/2022,7650,7700,7625,7700,7205.042969,110334600
1/12/2022,7700,7700,7650,7700,7205.042969,62606000
1/13/2022,7700,7750,7650,7700,7205.042969,50025200
1/14/2022,7700,7850,7650,7850,7345.400391,65898700
1/17/2022,7900,7900,7700,7750,7251.828613,63902600
1/18/2022,7775,7775,7550,7675,7181.649414,71476300
1/19/2022,7650,7725,7575,7675,7181.649414,60389700
1/20/2022,7725,7775,7625,7775,7275.22168,59925500
1/21/2022,7775,7950,7700,7950,7438.972168,63370500
1/24/2022,7825,7850,7775,7800,7298.614746,40278300
1/25/2022,7675,7775,7625,7775,7275.22168,106796900
1/26/2022,7700,7750,7650,7700,7205.042969,53350200
1/27/2022,7625,7800,7625,7800,7298.614746,71945100
1/28/2022,7800,7825,7700,7775,7275.22168,70595000
1/31/2022,7775,7775,7625,7625,7134.863281,68122000
2/2/2022,7775,7800,7675,7800,7298.614746,65308100
2/3/2022,7800,7825,7700,7725,7228.435547,35100600
2/4/2022,7750,7800,7700,7725,7228.435547,39324700
2/7/2022,7775,7800,7700,7800,7298.614746,56813200
2/8/2022,7750,7850,7725,7725,7228.435547,61883100
2/9/2022,7850,7950,7800,7950,7438.972168,108922200
2/10/2022,7950,7950,7750,7750,7251.828613,93277000
2/11/2022,7675,7825,7650,7825,7322.007813,71968800
2/14/2022,7750,7775,7700,7700,7205.042969,57710700
2/15/2022,7750,7875,7725,7875,7368.792969,55617000
2/16/2022,7850,7975,7825,7975,7462.365234,77055100
2/17/2022,7850,7925,7800,7900,7392.186523,48704600
2/18/2022,7950,7950,7850,7925,7415.579102,56813400
2/21/2022,7925,7975,7900,7950,7438.972168,43821700
2/22/2022,7900,7950,7850,7900,7392.186523,80095500
2/23/2022,7900,8100,7875,8050,7532.544434,99240300
2/24/2022,8125,8150,7925,8000,7485.758789,124947700
2/25/2022,7950,8175,7925,8050,7532.544434,135899900
3/1/2022,8000,8175,8000,8050,7532.544434,136616800
3/2/2022,8225,8225,7975,7975,7462.365234,100301000
3/4/2022,7975,8025,7900,7900,7392.186523,132983400
3/7/2022,7800,7850,7700,7700,7205.042969,130990900
3/8/2022,7700,7850,7650,7650,7158.256348,119256500
3/9/2022,7700,7950,7650,7850,7345.400391,132814500
3/10/2022,7925,7975,7800,7925,7415.579102,86484000
3/11/2022,7725,7950,7725,7950,7438.972168,61053900
3/14/2022,8050,8100,7950,8075,7555.937012,78432100
3/15/2022,8150,8200,8075,8150,7626.115723,111214500
3/16/2022,8275,8275,8075,8200,7672.902344,149761300
3/17/2022,8300,8300,8000,8000,7485.758789,132439400
3/18/2022,8000,8100,7900,7900,7392.186523,143981700
3/21/2022,7800,7950,7800,7900,7392.186523,85485500
3/22/2022,7900,7950,7875,7925,7415.579102,60010900
3/23/2022,7925,7950,7825,7900,7392.186523,82208000
3/24/2022,7850,7950,7800,7925,7415.579102,95245100
